agency_name,response_count,agency_name_display,most_helpful_top_words,most_helpful_top_bigrams,least_helpful_top_words,least_helpful_top_bigrams
all nations health center - behaviorial health,8,All Nations Health Center - Behaviorial Health,work:8 | clients:5 | group:3 | community:3 | able:3 | healing:3 | learned:2 | resource:2 | meetings:2 | flexible:2 | direct:2 | strong:2 | rapport:2 | social:2 | perspective:2 | agency:2 | better:2 | healthy:2 | understand:2 | journey:2,group work:2 | learned group:1 | group facilitation:1 | facilitation resource:1 | resource work:1 | work community:1 | community meetings:1 | meetings flexible:1 | building relationships:1 | relationships direct:1 | direct experience:1 | strong support:1 | support included:1 | included meetings:1 | meetings regular:1,communication:2 | wanted:2 | clients:2 | gaps:1 | experience:1 | harder:1 | than:1 | needed:1 | chaos:1 | within:1 | organization:1 | slow:1 | periods:1 | fewer:1 | tasks:1 | clarity:1 | role:1 | learning:1 | goals:1 | seeing:1,communication gaps:1 | gaps experience:1 | experience harder:1 | harder than:1 | than needed:1 | chaos within:1 | within organization:1 | slow periods:1 | periods fewer:1 | fewer tasks:1 | wanted clarity:1 | clarity role:1 | role learning:1 | learning goals:1 | seeing waitlists:1
alliance for suicide prevention of larimer county,4,Alliance For Suicide Prevention Of Larimer County,work:2 | coordination:2 | biggest:1 | help:1 | reentry:1 | planning:1 | release:1 | connect:1 | class:1 | content:1 | practice:1 | appreciated:1 | learning:1 | case:1 | partnerships:1 | real:1 | settings:1 | supportive:1 | team:1 | guidance:1,help work:1 | work reentry:1 | reentry planning:1 | planning release:1 | release coordination:1 | coordination connect:1 | connect class:1 | class content:1 | content practice:1 | appreciated learning:1 | learning case:1 | case coordination:1 | coordination partnerships:1 | partnerships work:1 | work real:1,hardest:1 | shadowing:1 | needed:1 | chances:1 | try:1 | skills:1 | hard:1 | grow:1 | structure:1 | loose:1 | weeks:1 | slower:1 | than:1 | others:1 | strong:1 | placement:1 | nothing:1 | learned:1 | various:1 | tasks:1,hardest shadowing:1 | shadowing needed:1 | skills hard:1 | hard grow:1 | grow structure:1 | structure loose:1 | weeks slower:1 | slower than:1 | than others:1 | others strong:1 | strong placement:1 | nothing learned:1 | learned various:1 | various tasks:1
alluvion health,3,Alluvion Health,work:2 | practice:2 | court:1 | accompaniment:1 | crisis:1 | support:1 | warm:1 | handoffs:1 | connect:1 | class:1 | content:1 | hands:1 | experience:1 | clients:1 | diagnosing:1 | found:1 | group:1 | combined:1 | direct:1 | planning:1,work court:1 | court accompaniment:1 | accompaniment crisis:1 | crisis support:1 | support warm:1 | warm handoffs:1 | handoffs connect:1 | connect class:1 | class content:1 | content practice:1 | hands experience:1 | experience clients:1 | clients diagnosing:1 | found group:1 | group work:1,honestly:1 | one:1 | frustration:1 | check:1 | ins:1 | steady:1 | enough:1 | amount:1 | responsibility:1 | opportunity:1 | engage:1 | research:1 | policy:1 | support:1 | underserved:1 | communities:1 | alluvion:1 | fqhc:1 | times:1 | placement:1,honestly one:1 | frustration check:1 | check ins:1 | ins steady:1 | steady enough:1 | enough amount:1 | amount responsibility:1 | opportunity engage:1 | engage research:1 | research policy:1 | policy support:1 | support underserved:1 | underserved communities:1 | communities alluvion:1 | alluvion fqhc:1
aspen adult services,6,Aspen Adult Services,learning:3 | weeks:2 | work:2 | helped:1 | included:1 | safety:1 | planning:1 | parent:1 | coaching:1 | instead:1 | observing:1 | gave:1 | better:1 | sense:1 | family:1 | support:1 | set:1 | boundaries:1 | learned:1 | quite:1,helped included:1 | included safety:1 | safety planning:1 | planning parent:1 | parent coaching:1 | coaching instead:1 | observing gave:1 | gave better:1 | better sense:1 | sense family:1 | family support:1 | learning set:1 | set boundaries:1 | learned quite:1 | quite bit:1,direct:2 | practice:2 | enough:2 | check:2 | ins:2 | wanted:1 | instead:1 | mostly:1 | observation:1 | meal:1 | prepping:1 | grocery:1 | shopping:1 | daily:1 | like:1 | nutritionist:1 | slow:1 | periods:1 | fewer:1 | tasks:1,direct practice:2 | enough check:2 | check ins:2 | wanted direct:1 | practice instead:1 | instead mostly:1 | mostly observation:1 | meal prepping:1 | prepping grocery:1 | grocery shopping:1 | shopping daily:1 | daily like:1 | like nutritionist:1 | slow periods:1 | periods fewer:1
aspen counseling services,13,Aspen Counseling Services,learning:7 | clients:5 | helped:4 | tasks:4 | crisis:3 | support:3 | agreement:3 | practice:3 | clearer:3 | than:2 | seeing:2 | biggest:2 | help:2 | work:2 | resource:2 | case:2 | management:2 | less:2 | abstract:2 | client:2,learning agreement:3 | case management:2 | agreement less:2 | less abstract:2 | site learned:2 | direct practice:2 | wanted defined:2 | defined tasks:2 | tasks clearer:2 | clearer learning:2 | learning goals:2 | parts placement:1 | placement role:1 | role broader:1 | broader than:1,skills:4 | practice:3 | one:3 | shadowing:3 | needed:3 | chances:3 | try:3 | scheduling:2 | difficult:2 | times:2 | wanted:2 | hardest:2 | therapists:2 | opportunities:2 | frustration:2 | able:1 | observe:1 | therapist:1 | sessions:1 | little:1,shadowing needed:3 | scheduling difficult:2 | difficult times:2 | able observe:1 | observe therapist:1 | therapist sessions:1 | sessions wanted:1 | hardest wanted:1 | wanted little:1 | little independent:1 | independent practice:1 | agency quarterly:1 | quarterly meetings:1 | meetings therapists:1 | therapists one:1
asum bear necessities,3,Asum Bear Necessities,work:4 | care:4 | bear:3 | necessities:3 | food:3 | pantry:3 | helped:2 | take:2 | coordinated:2 | team:2 | campus:2 | success:2 | variety:2 | working:2 | kat:2 | appreciated:1 | real:1 | exposure:1 | risk:1 | assessment:1,bear necessities:3 | food pantry:3 | coordinated care:2 | working food:2 | appreciated real:1 | real exposure:1 | exposure risk:1 | risk assessment:1 | assessment safety:1 | safety planning:1 | planning mobile:1 | mobile outreach:1 | outreach learning:1 | learning agreement:1 | agreement less:1,times:2 | kat:2 | better:2 | hardest:1 | workflow:1 | changed:1 | quickly:1 | planning:1 | harder:1 | too:1 | documentation:1 | throughout:1 | miscommunications:1 | take:1 | leading:1 | minor:1 | conflict:1 | midyear:1 | mark:1 | worked:1,hardest workflow:1 | workflow changed:1 | changed quickly:1 | quickly planning:1 | planning harder:1 | times too:1 | too documentation:1 | times throughout:1 | throughout miscommunications:1 | miscommunications kat:1 | kat take:1 | take leading:1 | leading minor:1 | minor conflict:1 | conflict midyear:1
aware inc,22,Aware Inc.,practice:9 | work:7 | appreciated:6 | helped:6 | exposure:5 | learning:5 | assessment:4 | practicum:4 | case:4 | experience:4 | supervision:4 | support:4 | educational:4 | youth:4 | clinical:4 | learned:3 | planning:3 | connect:3 | see:3 | documentation:3,case management:3 | macro practice:2 | connect class:2 | class content:2 | content practice:2 | appreciated work:2 | trauma informed:2 | real exposure:2 | warm handoffs:2 | clinical assessments:2 | social work:2 | best exposure:1 | exposure macro:1 | practice working:1 | working staff:1,practicum:8 | practice:7 | one:5 | frustration:5 | experience:5 | needed:4 | learning:4 | tasks:4 | work:4 | expectations:4 | aware:4 | enough:3 | hands:3 | fewer:3 | clinical:3 | duties:3 | job:3 | times:3 | liked:2 | down:2,too admin:2 | admin work:2 | frustration went:2 | went paperwork:2 | paperwork instead:2 | instead actual:2 | actual practice:2 | client contact:2 | contact fewer:2 | fewer office:2 | office tasks:2 | practicum experience:2 | employment based:2 | based practicum:2 | perform job:2
bayview recovery center,6,Bayview Recovery Center,trauma:2 | case:2 | management:2 | learning:2 | intervention:2 | work:2 | see:2 | learned:1 | quite:1 | bit:1 | needed:1 | direction:1 | appreciated:1 | chance:1 | build:1 | confidence:1 | informed:1 | care:1 | trusted:1 | learn:1,case management:2 | learned quite:1 | quite bit:1 | bit needed:1 | needed direction:1 | appreciated chance:1 | chance build:1 | build confidence:1 | confidence trauma:1 | trauma informed:1 | informed care:1 | care case:1 | management trusted:1 | trusted learn:1 | learn having:1,clearer:3 | learning:2 | plan:2 | start:2 | help:2 | onboarding:1 | process:1 | brief:1 | contact:1 | educational:1 | wanted:1 | continuity:1 | clients:1 | probably:1 | doing:1 | utilization:1 | reviews:1 | hardest:1 | weeks:1 | observational:1,clearer learning:2 | learning plan:2 | plan start:2 | start help:2 | onboarding process:1 | process clearer:1 | brief contact:1 | contact educational:1 | educational wanted:1 | wanted continuity:1 | continuity clients:1 | probably doing:1 | doing utilization:1 | utilization reviews:1 | hardest weeks:1
behavioral health resources,12,Behavioral Health Resources,appreciated:6 | work:4 | support:4 | community:3 | help:3 | learning:3 | included:3 | instead:3 | observing:3 | honestly:2 | real:2 | exposure:2 | practicum:2 | learn:2 | program:2 | meetings:2 | referrals:2 | treatment:2 | planning:2 | biggest:2,honestly appreciated:2 | real exposure:2 | appreciated included:2 | meeting clients:2 | appreciated real:1 | exposure community:1 | community outreach:1 | outreach community:1 | community assessments:1 | assessments actually:1 | actually see:1 | see classroom:1 | classroom material:1 | material shows:1 | shows practicum:1,practice:7 | work:6 | too:4 | one:3 | frustration:3 | admin:3 | enough:3 | hands:3 | social:3 | went:2 | paperwork:2 | instead:2 | actual:2 | hard:2 | practicum:2 | educational:2 | needed:2 | client:2 | contact:2 | fewer:2,too admin:3 | admin work:3 | went paperwork:2 | paperwork instead:2 | instead actual:2 | actual practice:2 | client contact:2 | contact fewer:2 | fewer office:2 | office tasks:2 | social work:2 | frustration went:1 | frustration too:1 | clients showed:1 | showed lost:1
benefis health system,21,Benefis Health System,practice:12 | work:8 | tasks:5 | support:5 | clients:4 | planning:4 | learning:4 | helped:3 | connect:3 | experience:3 | systems:3 | micro:3 | appreciated:3 | advocacy:3 | learned:3 | clearer:3 | community:2 | taught:2 | than:2 | structure:2,clients tasks:2 | community planning:2 | taught than:2 | than structure:2 | connect class:2 | class content:2 | content practice:2 | safety planning:2 | data tracking:2 | social work:2 | work practice:2 | skills learned:2 | mezzo macro:2 | helped clients:1 | tasks policy:1,work:6 | enough:5 | practice:5 | too:4 | admin:4 | hands:3 | needed:3 | client:3 | contact:3 | practicum:3 | than:3 | learning:2 | fewer:2 | office:2 | tasks:2 | reactive:2 | educational:2 | limited:2 | onboarding:2 | process:2,too admin:4 | admin work:4 | client contact:3 | contact fewer:2 | fewer office:2 | office tasks:2 | tasks practicum:2 | practicum reactive:2 | reactive than:2 | than educational:2 | onboarding process:2 | process clearer:2 | mental health:2 | practice slowed:1 | slowed down:1
big sky palliative & hospice,29,Big Sky Palliative & Hospice,practice:10 | support:8 | work:7 | appreciated:6 | helped:6 | planning:5 | group:5 | clients:5 | resource:5 | connect:5 | tasks:5 | learning:4 | class:4 | content:4 | grief:3 | supervision:3 | mary:3 | direct:3 | systems:3 | real:3,connect class:4 | class content:4 | content practice:4 | appreciated work:3 | clients tasks:3 | taught than:3 | than structure:3 | social workers:2 | helped learn:2 | resource linkage:2 | crisis support:2 | direct practice:2 | health fairs:2 | group facilitation:2 | help clients:2,practice:7 | work:6 | agency:4 | too:4 | admin:4 | structure:4 | students:3 | enough:3 | hands:3 | practicum:3 | learning:3 | weeks:3 | one:2 | frustration:2 | staff:2 | don:2 | access:2 | student:2 | observational:2 | than:2,too admin:3 | admin work:3 | frustration too:2 | practicum students:2 | weeks observational:2 | observational than:2 | than active:2 | went paperwork:2 | paperwork instead:2 | instead actual:2 | actual practice:2 | agency allow:1 | allow students:1 | students charting:1 | charting software:1
billings public schools,7,Billings Public Schools,learned:3 | work:2 | one:2 | real:2 | weeks:2 | issues:2 | site:2 | biggest:2 | help:2 | appreciated:1 | resource:1 | navigation:1 | program:1 | planning:1 | connect:1 | class:1 | content:1 | practice:1 | support:1 | erica:1,site learned:2 | appreciated work:1 | work resource:1 | resource navigation:1 | navigation program:1 | program planning:1 | planning connect:1 | connect class:1 | class content:1 | content practice:1 | support erica:1 | erica house:1 | house behavior:1 | behavior interventionist:1 | interventionist able:1,needed:3 | shadowing:2 | chances:2 | try:2 | skills:2 | hardest:1 | spent:1 | too:1 | guessing:1 | doing:1 | wish:1 | accessed:1 | students:1 | schedules:1 | school:1 | database:1 | understand:1 | why:1 | inconsistent:1 | supervision:1,shadowing needed:2 | hardest shadowing:1 | skills spent:1 | spent too:1 | too guessing:1 | guessing doing:1 | wish accessed:1 | accessed students:1 | students schedules:1 | schedules school:1 | school database:1 | database understand:1 | understand why:1 | inconsistent supervision:1 | honestly needed:1
bitterroot cares,6,Bitterroot Cares,community:6 | confidence:3 | support:2 | build:2 | resource:2 | work:2 | helped:1 | included:1 | housing:1 | search:1 | referrals:1 | instead:1 | observing:1 | appreciated:1 | chance:1 | navigation:1 | trusted:1 | learn:1 | having:1 | learned:1,confidence resource:2 | community work:2 | helped included:1 | included housing:1 | housing search:1 | search support:1 | support community:1 | community referrals:1 | referrals instead:1 | appreciated chance:1 | chance build:1 | build confidence:1 | resource navigation:1 | navigation community:1 | work trusted:1,one:1 | frustration:1 | practicum:1 | reactive:1 | than:1 | planned:1 | workflow:1 | changed:1 | quickly:1 | planning:1 | harder:1 | first:1 | weeks:1 | unstructured:1 | too:1 | admin:1 | tasks:1 | everything:1 | maybe:1 | zoom:1,frustration practicum:1 | practicum reactive:1 | reactive than:1 | than planned:1 | workflow changed:1 | changed quickly:1 | quickly planning:1 | planning harder:1 | first weeks:1 | weeks unstructured:1 | too admin:1 | admin tasks:1 | everything maybe:1 | maybe zoom:1 | zoom meetings:1
blackfeet community college,13,Blackfeet Community College,helped:4 | work:4 | learned:4 | meetings:3 | practice:3 | coordination:3 | issues:3 | site:3 | group:2 | tracking:2 | actually:2 | see:2 | classroom:2 | material:2 | shows:2 | practicum:2 | biggest:2 | help:2 | resource:2 | health:2,site learned:3 | actually see:2 | see classroom:2 | classroom material:2 | material shows:2 | shows practicum:2 | hands helpfulness:1 | helpfulness employees:1 | employees supervisors:1 | supervisors msw:1 | msw outside:1 | outside group:1 | helped work:1 | work data:1 | data tracking:1,too:4 | needed:3 | one:3 | shadowing:2 | chances:2 | try:2 | skills:2 | doing:2 | frustration:2 | experience:2 | expectations:2 | admin:2 | work:2 | enough:2 | hands:2 | practice:2 | job:1 | site:1 | spent:1 | guessing:1,shadowing needed:2 | too admin:2 | admin work:2 | job site:1 | skills spent:1 | spent too:1 | too guessing:1 | guessing doing:1 | frustration shadowing:1 | don think:1 | think experience:1 | experience practicum:1 | practicum educational:1 | unclear expectations:1 | expectations start:1
blaine county school district,8,Blaine County School District,learned:3 | helped:3 | practicum:3 | already:3 | working:2 | site:2 | assessment:2 | support:2 | advocacy:2 | doing:2 | able:2 | hours:2 | learning:2 | experience:2 | work:2 | knowledgeable:1 | having:1 | appreciated:1 | learn:1 | risk:1,hours already:2 | knowledgeable learned:1 | learned working:1 | working having:1 | having site:1 | appreciated learn:1 | learn risk:1 | risk assessment:1 | assessment hotline:1 | hotline support:1 | support crisis:1 | crisis escalation:1 | escalation debrief:1 | help brought:1 | brought community:1,hours:2 | needed:2 | counseling:2 | schedule:1 | set:1 | afternoon:1 | missed:1 | out:1 | meetings:1 | learning:1 | experiences:1 | morning:1 | again:1 | flexible:1 | needs:1 | week:1 | honestly:1 | hardest:1 | went:1 | paperwork:1,schedule set:1 | set hours:1 | hours afternoon:1 | afternoon missed:1 | missed out:1 | out meetings:1 | meetings learning:1 | learning experiences:1 | experiences morning:1 | morning again:1 | again hours:1 | hours flexible:1 | flexible needs:1 | needs week:1 | honestly hardest:1
blue mountain clinic family practice,3,Blue Mountain Clinic Family Practice,work:2 | biggest:1 | help:1 | included:1 | resource:1 | navigation:1 | court:1 | support:1 | instead:1 | observing:1 | space:1 | guidance:1 | create:1 | meaningful:1 | changes:1 | appreciated:1 | coalition:1 | legislative:1 | tracking:1 | connect:1,help included:1 | included resource:1 | resource navigation:1 | navigation court:1 | court support:1 | support instead:1 | space guidance:1 | guidance create:1 | create meaningful:1 | meaningful changes:1 | appreciated work:1 | work coalition:1 | coalition work:1 | work legislative:1 | legislative tracking:1,honestly:1 | went:1 | paperwork:1 | instead:1 | actual:1 | practice:1 | differences:1 | work:1 | styles:1 | supervisor:1 | hardest:1 | hard:1 | knowing:1 | meeting:1 | expectations:1,honestly went:1 | went paperwork:1 | paperwork instead:1 | instead actual:1 | actual practice:1 | differences work:1 | work styles:1 | styles supervisor:1 | hardest hard:1 | hard knowing:1 | knowing meeting:1 | meeting expectations:1
boys and girls club,28,Boys And Girls Club,practice:10 | helped:10 | work:9 | learning:8 | meetings:7 | appreciated:5 | included:5 | real:4 | self:4 | instead:4 | build:4 | confidence:4 | learned:4 | community:4 | learn:4 | coordination:4 | working:4 | staff:4 | program:4 | practicum:3,build confidence:4 | learning agreement:3 | meetings helped:3 | social justice:2 | justice self:2 | self determination:2 | appreciated work:2 | helped build:2 | learned direct:2 | direct practice:2 | practice feedback:2 | confidence group:2 | agreement less:2 | less abstract:2 | included meetings:2,hardest:7 | times:6 | needed:5 | one:4 | shadowing:4 | chances:4 | wanted:4 | practice:4 | enough:4 | work:4 | direct:3 | client:3 | frustration:3 | try:3 | skills:3 | onboarding:3 | process:3 | clearer:3 | amount:3 | changed:3,shadowing needed:3 | onboarding process:3 | process clearer:3 | check ins:2 | ins steady:2 | steady enough:2 | enough amount:2 | amount responsibility:2 | workflow changed:2 | changed quickly:2 | quickly planning:2 | planning harder:2 | client contact:2 | hardest shadowing:2 | slowed down:2
