academic_year,academic_year_start,agency_name,agency_name_display,response_count,data_quality,placement_quality_score,recommendation_rate,overall_sentiment_score,concern_indicator_count,concern_flag,prepared_for_practice,learning_goals_met,supervision_frequency,supervision_quality,felt_prepared,comp_1_ethical_professional,comp_2_human_rights_justice,comp_3_adei,comp_4_research_informed,comp_5_policy_practice,comp_6_engage,comp_7_assess,comp_8_intervene,comp_9_evaluate,comments_supervisor_polarity,least_helpful_polarity,most_helpful_polarity,other_comments_polarity,recommend_reason_polarity
2014-2015,2014,cameron r-1 school district,Cameron R-1 School District,1,limited,4.6,0.0,0.4045,1,no flag,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,3.0,5.0,1.0,5.0,,0.0,0.7184,0.8481,0.0516
2014-2015,2014,casa for children,Casa For Children,4,sufficient,4.3,1.0,0.5295,0,no flag,4.5,4.75,4.25,4.75,3.25,4.5,4.75,4.5,4.0,4.75,4.5,5.0,4.5,4.5,0.739,0.0651,0.4964,0.4215,0.9254
2014-2015,2014,cascade academy,Cascade Academy,1,limited,5.0,1.0,0.6809,0,no flag,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,0.8655,0.3182,0.8591
2014-2015,2014,cedar creek integrated health,Cedar Creek Integrated Health,1,limited,4.0,1.0,0.4885,0,no flag,5.0,5.0,5.0,4.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,-0.2263,0.7579,0.5106,0.9118
2014-2015,2014,center for restorative youth justice,Center For Restorative Youth Justice,1,limited,4.6,1.0,0.3922,0,no flag,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,0.5106,-0.3252,0.4754,,0.9081
2014-2015,2014,child and family service department,Child And Family Service Department,4,sufficient,4.3,0.75,0.3771,0,no flag,4.5,4.25,4.5,4.25,4.0,3.5,4.25,4.5,4.5,4.25,3.5,4.25,4.5,4.25,0.4393,-0.1335,0.5917,,0.611
2014-2015,2014,clark fork valley hospital & family medicine network,Clark Fork Valley Hospital & Family Medicine Network,1,limited,4.8,1.0,0.5348,0,no flag,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,,-0.2263,0.6997,0.8481,0.8176
2014-2015,2014,climate smart missoula,Climate Smart Missoula,1,limited,4.4,1.0,0.7698,0,no flag,4.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,4.0,4.0,4.0,0.6705,,0.6997,,0.9393
2014-2015,2014,community medical center,Community Medical Center,1,limited,4.4,1.0,0.3565,0,no flag,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,0.5106,-0.4993,0.4754,,0.9393
2014-2015,2014,connections corrections program,Connections Corrections Program,1,limited,4.2,1.0,0.5478,0,no flag,4.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,,0.0,0.836,0.4215,0.9337
2014-2015,2014,core health,Core Health,1,limited,4.8,1.0,0.6799,0,no flag,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,,0.359,0.7269,,0.9538
2014-2015,2014,crime victim advocate program,Crime Victim Advocate Program,3,sufficient,4.6,0.67,0.3283,1,no flag,4.67,4.33,5.0,4.33,4.67,5.0,4.33,4.67,4.33,4.67,5.0,4.33,3.67,4.67,0.8074,-0.063,0.5011,0.0,0.3962
2014-2015,2014,crisis text line,Crisis Text Line,1,limited,5.0,1.0,0.3088,0,no flag,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,0.5106,0.09,0.0,0.0,0.9432
2014-2015,2014,curry health center,Curry Health Center,8,sufficient,4.25,0.75,0.424,0,no flag,4.38,4.0,4.5,4.38,4.0,4.25,4.12,4.62,3.88,4.25,4.25,4.25,3.88,4.25,0.3937,-0.1253,0.659,0.559,0.6338
2014-2015,2014,david j. thatcher va clinic,David J. Thatcher Va Clinic,2,limited,4.9,1.0,0.4594,0,no flag,5.0,5.0,5.0,4.5,5.0,4.0,5.0,4.0,4.0,4.0,4.5,4.5,4.0,4.5,0.5106,-0.3252,0.7634,,0.889
2014-2015,2014,department of health and human services,Department Of Health And Human Services,1,limited,4.0,1.0,0.606,0,no flag,4.0,2.0,5.0,4.0,5.0,3.0,4.0,3.0,5.0,4.0,4.0,3.0,2.0,3.0,0.8074,-0.079,0.8687,,0.8271
2014-2015,2014,"emily wish, llc","Emily Wish, Llc",1,limited,4.8,1.0,0.5452,0,no flag,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,,0.0,0.6997,,0.936
2014-2015,2014,empowermt,Empowermt,4,sufficient,4.4,1.0,0.408,0,no flag,4.25,4.75,4.75,4.75,3.5,4.5,4.5,5.0,4.25,4.5,3.75,4.5,4.25,4.5,0.3352,-0.3839,0.7498,0.4215,0.9176
2014-2015,2014,encompass community service,Encompass Community Service,1,limited,3.6,0.0,0.4304,1,no flag,4.0,4.0,5.0,4.0,1.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,,-0.2732,0.7506,0.7096,0.5346
2014-2015,2014,families first learning lab,Families First Learning Lab,2,limited,4.5,1.0,0.4842,0,no flag,4.5,5.0,4.5,4.0,4.5,4.5,4.5,5.0,5.0,4.0,4.0,5.0,4.5,5.0,0.8074,-0.2736,0.4579,,0.9451
2014-2015,2014,first step resource center,First Step Resource Center,1,limited,4.0,0.0,0.3709,1,no flag,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,5.0,0.8074,0.4404,0.6808,,-0.4449
2014-2015,2014,friends forever mentoring,Friends Forever Mentoring,1,limited,5.0,1.0,0.566,0,no flag,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,3.0,,0.069,0.6705,,0.9584
2014-2015,2014,frontier behavioral health,Frontier Behavioral Health,1,limited,3.4,1.0,0.4012,1,no flag,4.0,3.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,0.0,0.2846,0.7783,0.0,0.9432
2014-2015,2014,germane and wise mental health consulting,Germane And Wise Mental Health Consulting,1,limited,4.6,0.0,0.4682,1,no flag,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,,0.1779,0.4754,0.8481,0.3716
2014-2015,2014,greater valley health center,Greater Valley Health Center,1,limited,3.8,1.0,0.2766,0,no flag,4.0,5.0,4.0,4.0,2.0,2.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,0.1531,-0.4993,0.7096,,0.743
2014-2015,2014,habitat for humanity of gallatin valley,Habitat For Humanity Of Gallatin Valley,1,limited,3.8,1.0,0.5916,0,no flag,3.0,4.0,5.0,5.0,2.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,,0.128,0.7351,,0.9118
2014-2015,2014,haven,Haven,1,limited,3.4,0.0,0.3461,2,review recommended,3.0,5.0,3.0,4.0,2.0,5.0,4.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,0.0,0.1779,0.6908,0.7096,0.152
2014-2015,2014,health promotion disease prevention,Health Promotion Disease Prevention,1,limited,4.2,1.0,0.5586,0,no flag,5.0,5.0,5.0,4.0,2.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,4.0,,0.1531,0.5719,,0.9509
2014-2015,2014,helena indian alliance,Helena Indian Alliance,1,limited,4.2,1.0,0.4463,0,no flag,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,0.5106,-0.3252,0.6997,,0.9001
2014-2015,2014,helena valley addiction services,Helena Valley Addiction Services,1,limited,4.8,1.0,0.6947,0,no flag,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,0.5499,0.7269,,0.8074
2014-2015,2014,hopa mountain,Hopa Mountain,2,limited,4.3,0.5,0.4027,1,no flag,4.0,4.5,4.5,5.0,3.5,4.0,4.5,4.0,4.0,4.0,3.5,4.5,5.0,3.5,0.4037,-0.0486,0.7609,0.7096,0.188
2014-2015,2014,imperial county behavioral health,Imperial County Behavioral Health,1,limited,3.8,1.0,0.5325,0,no flag,3.0,4.0,5.0,5.0,2.0,4.0,3.0,4.0,2.0,4.0,3.0,5.0,4.0,4.0,,0.3612,0.5994,,0.6369
2014-2015,2014,intermountain,Intermountain,1,limited,4.4,1.0,0.2719,0,no flag,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,5.0,0.0,-0.25,0.5106,,0.8271
2014-2015,2014,international rescue committee,International Rescue Committee,2,limited,3.9,1.0,0.3381,0,no flag,4.0,5.0,3.5,4.5,2.5,4.5,4.5,4.5,4.5,4.0,5.0,4.5,4.0,4.0,,0.2312,-0.089,,0.872
2014-2015,2014,juvenile probation,Juvenile Probation,1,limited,3.0,0.0,0.2334,2,review recommended,3.0,4.0,4.0,3.0,1.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,-0.2263,0.5719,0.6705,,-0.0824
2014-2015,2014,kent school district,Kent School District,1,limited,4.8,1.0,0.8275,0,no flag,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,0.6705,,0.8832,0.8481,0.9081
2014-2015,2014,linn county mental health,Linn County Mental Health,1,limited,4.4,1.0,0.6977,0,no flag,5.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.6705,0.3612,0.9231,,0.836
2014-2015,2014,logan health medical center,Logan Health Medical Center,2,limited,3.8,1.0,0.3452,0,no flag,3.5,4.0,4.5,4.5,2.5,4.0,3.5,4.5,4.0,4.5,3.0,4.0,4.5,3.5,0.2905,-0.3252,0.4577,,0.9578
2014-2015,2014,lynn rice therapy,Lynn Rice Therapy,1,limited,4.4,1.0,-0.0037,1,no flag,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,3.0,5.0,,-0.296,-0.5423,,0.8271
2014-2015,2014,missoula food bank,Missoula Food Bank,1,limited,4.4,1.0,0.6667,0,no flag,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,0.4215,0.6705,,0.9081
2014-2015,2014,missoula municipal court,Missoula Municipal Court,2,limited,4.0,0.0,0.2845,1,no flag,3.5,4.0,5.0,5.0,2.5,4.5,4.0,4.0,4.0,3.5,4.0,4.5,3.0,4.0,,-0.3252,0.5176,0.8481,0.0977
2014-2015,2014,missoula police department,Missoula Police Department,1,limited,4.8,1.0,0.3744,0,no flag,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,-0.2263,0.4215,0.4754,,0.8271
2014-2015,2014,missoula public library,Missoula Public Library,1,limited,5.0,1.0,0.4025,0,no flag,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,0.6705,-0.7003,0.7089,0.4215,0.9118
2014-2015,2014,missoula senior citizens center,Missoula Senior Citizens Center,1,limited,4.0,1.0,0.3467,0,no flag,5.0,4.0,5.0,5.0,1.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,0.6705,,-0.5423,,0.9118
2014-2015,2014,montana 10,Montana 10,2,limited,4.6,0.5,0.4813,1,no flag,5.0,4.0,5.0,4.0,5.0,4.5,4.5,4.5,4.5,5.0,4.0,4.5,5.0,5.0,0.0,0.802,0.6415,,0.4817
2014-2015,2014,montana innocence project,Montana Innocence Project,1,limited,3.8,1.0,0.3604,0,no flag,4.0,5.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,,-0.3252,0.5256,,0.8807
2014-2015,2014,montana judicial branch,Montana Judicial Branch,1,limited,4.2,0.0,-0.0196,2,review recommended,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,3.0,5.0,4.0,5.0,0.0,0.0,0.5106,,-0.5892
2014-2015,2014,montana state hospital,Montana State Hospital,3,sufficient,4.4,0.67,0.3945,1,no flag,4.0,4.0,5.0,4.67,4.33,4.33,5.0,4.67,4.33,4.33,3.33,4.33,4.67,4.67,0.3716,-0.0011,0.5776,,0.63
2014-2015,2014,mountain home montana,Mountain Home Montana,1,limited,3.8,1.0,0.6202,0,no flag,4.0,4.0,4.0,5.0,2.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,5.0,4.0,0.6705,0.1027,0.7506,,0.9571
2014-2015,2014,"new day, inc","New Day, Inc.",1,limited,3.6,1.0,0.5558,0,no flag,4.0,4.0,5.0,4.0,1.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0,5.0,0.6705,0.0,0.7351,,0.8176
2014-2015,2014,office of the state public defender,Office Of The State Public Defender,1,limited,5.0,1.0,0.3186,0,no flag,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,,0.3626,0.0,0.0,0.9118
2014-2015,2014,open aid alliance,Open Aid Alliance,2,limited,4.3,1.0,0.5378,0,no flag,5.0,5.0,4.5,4.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,0.0345,0.6908,0.5106,0.9152
2014-2015,2014,oregon aids education & training center,Oregon Aids Education & Training Center,2,limited,4.4,0.5,0.1371,1,no flag,4.5,4.0,4.5,4.5,4.5,3.5,4.0,4.5,3.0,4.5,4.0,4.5,4.5,4.5,0.0,-0.1059,0.493,,0.1613
2014-2015,2014,parents helping parents,Parents Helping Parents,1,limited,4.6,1.0,0.7612,0,no flag,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,,0.4215,0.926,,0.936
2014-2015,2014,partners in home care,Partners In Home Care,1,limited,4.4,0.0,0.1701,1,no flag,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,,0.2846,0.6705,,-0.4449
2014-2015,2014,paxson elementary school,Paxson Elementary School,1,limited,4.2,1.0,0.556,0,no flag,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,5.0,5.0,4.0,4.0,,0.069,0.6908,,0.9081
2014-2015,2014,poverello center inc,Poverello Center Inc,3,sufficient,4.6,1.0,0.5241,0,no flag,5.0,4.67,4.67,4.67,4.0,5.0,4.67,4.67,4.0,5.0,4.67,4.67,4.33,4.33,0.2553,0.3107,0.4646,0.6794,0.9106
2014-2015,2014,providence st. joseph medical center,Providence St. Joseph Medical Center,3,sufficient,4.73,1.0,0.4923,0,no flag,5.0,5.0,4.67,4.33,4.67,4.0,4.33,4.67,4.67,4.0,4.33,4.67,4.0,4.67,0.2745,-0.0336,0.8444,0.466,0.91
2014-2015,2014,ramsey magnet school of science,Ramsey Magnet School Of Science,1,limited,4.8,1.0,0.3056,0,no flag,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.5106,-0.8142,0.4754,0.4215,0.9349
2014-2015,2014,recovery center of montana,Recovery Center Of Montana,1,limited,4.6,1.0,0.4202,0,no flag,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,-0.4993,0.8481,,0.9118
2014-2015,2014,recreate nz,Recreate Nz,1,limited,3.6,1.0,0.2845,0,no flag,3.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,3.0,5.0,5.0,3.0,5.0,,-0.4993,0.4019,,0.9509
2014-2015,2014,russell elementary,Russell Elementary,1,limited,3.4,1.0,0.3936,1,no flag,5.0,4.0,4.0,3.0,1.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,-0.2263,0.5719,0.4019,,0.8271
2014-2015,2014,salem keizer school district,Salem Keizer School District,1,limited,4.4,1.0,0.3888,0,no flag,5.0,3.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,5.0,0.5106,-0.3612,0.4939,,0.9118
2014-2015,2014,santiam hospital & clinics,Santiam Hospital & Clinics,1,limited,3.4,1.0,0.3752,1,no flag,3.0,4.0,4.0,4.0,2.0,3.0,4.0,5.0,2.0,4.0,3.0,3.0,4.0,4.0,,-0.2732,0.5256,0.4215,0.8271
2014-2015,2014,shodair childrens hospital,Shodair Childrens Hospital,1,limited,4.0,1.0,0.6265,0,no flag,4.0,3.0,5.0,4.0,4.0,3.0,4.0,4.0,3.0,2.0,4.0,4.0,3.0,4.0,0.6705,0.1779,0.7184,,0.9393
2014-2015,2014,soft landing missoula,Soft Landing Missoula,1,limited,4.8,0.0,0.3846,1,no flag,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,3.0,4.0,,0.3612,0.5256,0.4215,0.2302
2014-2015,2014,southwest montana community health center,Southwest Montana Community Health Center,1,limited,4.2,1.0,0.471,0,no flag,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,3.0,0.8074,-0.3252,0.4939,,0.9081
2014-2015,2014,st. patrick hospital,St. Patrick Hospital,1,limited,4.4,1.0,0.7516,0,no flag,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.8074,0.3626,0.9246,,0.9118
2014-2015,2014,standing together against rape (star),Standing Together Against Rape (Star),2,limited,4.1,0.5,0.28,1,no flag,4.0,4.5,4.5,4.5,3.0,3.0,4.0,4.5,4.0,3.5,3.5,3.5,2.5,3.5,,-0.148,0.6264,0.0,0.6417
2014-2015,2014,stepping stones,Stepping Stones,2,limited,4.5,1.0,0.5216,0,no flag,4.5,5.0,5.0,5.0,3.0,4.5,5.0,5.0,4.5,5.0,4.5,5.0,4.0,5.0,0.8074,-0.1394,0.6711,,0.7472
2014-2015,2014,student advocacy resource center,Student Advocacy Resource Center,1,limited,4.4,1.0,0.2703,0,no flag,4.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,,-0.3252,0.2023,,0.9337
2014-2015,2014,the hope wellness center,The Hope Wellness Center,1,limited,4.0,1.0,0.6174,0,no flag,4.0,5.0,5.0,5.0,1.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,0.5106,0.5719,0.4754,,0.9118
2014-2015,2014,"timberline counseling, llc","Timberline Counseling, Llc",1,limited,4.2,1.0,0.5058,0,no flag,3.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,,0.1027,0.4754,,0.9393
2014-2015,2014,western montana mental health center,Western Montana Mental Health Center,1,limited,4.4,1.0,0.502,0,no flag,5.0,5.0,5.0,5.0,2.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,0.6705,0.0,0.5106,,0.8271
2014-2015,2014,winds of change mental health center,Winds Of Change Mental Health Center,1,limited,4.8,0.0,0.1814,1,no flag,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,0.5106,0.4215,0.1513,,-0.3578
2014-2015,2014,women's resource center,Women's Resource Center,1,limited,4.4,1.0,0.0924,0,no flag,5.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,-0.6632,0.0,,0.9403
2014-2015,2014,youth dynamics,Youth Dynamics,1,limited,4.8,1.0,0.4918,0,no flag,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,,0.0,0.5106,,0.9648
2014-2015,2014,youth homes,Youth Homes,4,sufficient,4.8,1.0,0.4673,0,no flag,5.0,4.75,4.75,5.0,4.5,4.75,4.75,5.0,4.75,4.75,4.5,5.0,4.75,4.5,0.3937,-0.0475,0.6799,0.4215,0.8888
2014-2015,2014,ywca,Ywca,3,sufficient,4.27,0.67,0.3235,1,no flag,5.0,4.33,4.33,4.0,3.67,5.0,4.33,4.67,4.0,3.67,3.67,4.33,4.67,4.67,0.659,-0.1324,0.6443,0.0,0.4468
2015-2016,2015,3 rivers mental health center,3 Rivers Mental Health Center,1,limited,4.0,0.0,0.402,1,no flag,5.0,5.0,4.0,4.0,2.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,,0.359,0.4754,,0.3716
2015-2016,2015,988 suicide & crisis lifeline center,988 Suicide & Crisis Lifeline Center,1,limited,4.6,1.0,0.5112,0,no flag,5.0,5.0,4.0,5.0,4.0,2.0,3.0,5.0,4.0,5.0,3.0,4.0,5.0,5.0,0.5106,0.6652,0.0,,0.8689
2015-2016,2015,988 tribal response,988 Tribal Response,2,limited,3.3,0.0,0.1082,2,review recommended,3.5,3.5,4.0,3.5,2.0,2.5,3.5,4.0,3.5,4.0,3.5,3.5,3.5,2.5,0.3421,-0.4574,0.664,0.0,-0.0079
2015-2016,2015,abbie shelter,Abbie Shelter,1,limited,2.8,1.0,0.2742,1,no flag,1.0,1.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,0.0,0.296,,0.5267
2015-2016,2015,all nations health center - behaviorial health,All Nations Health Center - Behaviorial Health,2,limited,4.0,1.0,0.3656,0,no flag,3.5,3.0,4.0,5.0,4.5,4.5,4.0,3.5,4.0,3.5,3.0,3.0,4.5,3.0,-0.104,0.2288,0.7201,0.3919,0.5912
2015-2016,2015,aspen counseling services,Aspen Counseling Services,1,limited,3.2,0.0,0.0666,2,review recommended,2.0,2.0,4.0,3.0,5.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,-0.2263,0.4215,0.0,0.5984,-0.4606
2015-2016,2015,asum bear necessities,Asum Bear Necessities,1,limited,5.0,1.0,0.4378,0,no flag,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,0.0,0.0,0.8519,0.7003,0.6369
2015-2016,2015,aware inc,Aware Inc.,3,sufficient,2.53,0.67,0.349,2,review recommended,2.0,3.67,2.33,2.67,2.0,3.67,4.33,4.33,3.67,4.0,3.67,4.33,3.33,3.33,0.1011,-0.0135,0.4755,0.6824,0.4993
2015-2016,2015,big sky palliative & hospice,Big Sky Palliative & Hospice,2,limited,5.0,1.0,0.4437,0,no flag,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,0.286,,0.6014
2015-2016,2015,blackfeet community college,Blackfeet Community College,1,limited,5.0,1.0,0.0,1,no flag,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,0.0,,
2015-2016,2015,bozeman health deaconess regional medical center,Bozeman Health Deaconess Regional Medical Center,1,limited,3.8,1.0,0.5359,0,no flag,5.0,4.0,5.0,4.0,1.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,4.0,4.0,,0.0,0.6997,,0.9081
2015-2016,2015,bridgercare,Bridgercare,2,limited,3.9,1.0,0.3055,0,no flag,4.0,4.0,4.5,3.5,3.5,4.5,4.0,4.5,4.0,4.0,4.0,4.0,4.0,4.0,0.4423,-0.1626,0.5852,0.2323,0.4305
2015-2016,2015,california youth services,California Youth Services,1,limited,4.8,1.0,0.546,0,no flag,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,4.0,3.0,5.0,4.0,0.7579,0.0,0.4754,0.6697,0.8271
2015-2016,2015,cedar creek integrated health,Cedar Creek Integrated Health,1,limited,2.8,0.0,0.4311,2,review recommended,5.0,1.0,1.0,5.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,0.6428,0.0,0.7096,0.4215,0.3818
