agency_name,agency_name_display,response_count,data_quality,placement_quality_score,recent_placement_score,fit_trend,mean_response_length,recommendation_rate,overall_sentiment_score,mean_competency_score,concern_indicator_count,concern_flag,misalignment_flag,most_helpful_polarity,least_helpful_polarity,strong_supervision_helpful_pct,strong_supervision_least_pct,direct_practice_opportunity_helpful_pct,direct_practice_opportunity_least_pct,administrative_overload_helpful_pct,administrative_overload_least_pct,organizational_structure_helpful_pct,organizational_structure_least_pct,learning_environment_helpful_pct,learning_environment_least_pct,social_justice_alignment_helpful_pct,social_justice_alignment_least_pct,most_helpful_top_words,most_helpful_top_bigrams,least_helpful_top_words,least_helpful_top_bigrams,comp_1_ethical_professional,comp_2_human_rights_justice,comp_3_adei,comp_4_research_informed,comp_5_policy_practice,comp_6_engage,comp_7_assess,comp_8_intervene,comp_9_evaluate,felt_prepared,learning_goals_met,prepared_for_practice,supervision_frequency,supervision_quality,comments_supervisor_polarity,other_comments_polarity,recommend_reason_polarity,agency_competency_1_mean,agency_competency_2_mean,agency_competency_3_mean,agency_competency_4_mean,agency_competency_5_mean,agency_competency_6_mean,agency_competency_7_mean,agency_competency_8_mean,agency_competency_9_mean
crisis connections,Crisis Connections,9,sufficient,3.53,3.73,stable,25.9,0.56,0.1837,90.59,2,review recommended,no flag,0.3481,-0.116,55.6,11.1,11.1,22.2,0.0,44.4,11.1,22.2,44.4,22.2,33.3,0.0,support:3 | learned:3 | outreach:3 | supervision:3 | work:2 | biggest:2 | help:2 | learn:2 | resource:2 | linkage:2 | debrief:2 | issues:2 | site:2 | crisis:2 | community:2 | mezzo:2 | based:2 | practices:2 | helped:1 | court:1,resource linkage:2 | site learned:2 | helped work:1 | work court:1 | court related:1 | related prep:1 | prep cps:1 | cps coordination:1 | coordination connect:1 | connect class:1 | class content:1 | content practice:1 | help learn:1 | learn resource:1 | linkage hotline:1,practice:4 | instead:3 | enough:2 | went:2 | paperwork:2 | actual:2 | learn:2 | conflict:2 | agencies:2 | manager:2 | first:2 | weeks:2 | unstructured:2 | every:2 | task:2 | admin:1 | work:1 | hands:1 | hardest:1 | wanted:1,went paperwork:2 | paperwork instead:2 | instead actual:2 | actual practice:2 | first weeks:2 | weeks unstructured:2 | admin work:1 | hardest wanted:1 | wanted direct:1 | direct practice:1 | practice instead:1 | instead mostly:1 | mostly observation:1 | don recall:1 | recall single:1,3.67,3.78,3.56,3.56,3.56,3.11,3.56,3.33,3.33,3.56,3.11,3.33,4.11,3.56,0.3106,0.4023,-0.0264,92.36,91.46,88.85,88.22,89.8,93.8,94.22,86.93,89.66
turning winds,Turning Winds,6,sufficient,3.53,3.4,stable,29.2,0.67,0.3918,87.65,2,review recommended,no flag,0.5537,-0.1329,33.3,40.0,50.0,0.0,0.0,0.0,16.7,60.0,83.3,0.0,33.3,0.0,support:3 | feedback:3 | enough:2 | direct:2 | practice:2 | learned:2 | work:2 | group:2 | having:2 | difference:2 | learning:1 | came:1 | crisis:1 | calls:1 | active:1 | listening:1 | reflection:1 | documentation:1 | mattered:1 | helped:1,direct practice:2 | learning came:1 | came crisis:1 | crisis calls:1 | calls active:1 | active listening:1 | listening reflection:1 | reflection documentation:1 | documentation mattered:1 | helped brought:1 | brought systems:1 | systems advocacy:1 | advocacy instead:1 | instead doing:1 | doing support:1,practicum:3 | actual:2 | supervisor:2 | fewer:1 | opportunities:1 | observe:1 | experienced:1 | practitioners:1 | live:1 | hardest:1 | hard:1 | knowing:1 | meeting:1 | expectations:1 | inconsistent:1 | supervision:1 | first:1 | weeks:1 | unstructured:1 | scheduling:1,fewer opportunities:1 | opportunities observe:1 | observe experienced:1 | experienced practitioners:1 | practitioners live:1 | hardest hard:1 | hard knowing:1 | knowing meeting:1 | meeting expectations:1 | inconsistent supervision:1 | supervision first:1 | first weeks:1 | weeks unstructured:1 | scheduling difficult:1 | difficult times:1,3.83,2.83,3.17,3.5,3.0,3.5,3.33,3.33,3.33,3.83,4.17,3.83,3.33,2.5,0.3941,0.5087,0.6352,91.42,85.1,85.0,84.41,86.51,89.0,92.51,86.18,88.74
united way of the lewis and clark area,United Way Of The Lewis And Clark Area,6,sufficient,3.57,4.0,improving,30.3,0.5,0.3097,87.68,2,review recommended,no flag,0.4025,-0.0165,33.3,50.0,66.7,33.3,33.3,33.3,16.7,50.0,50.0,33.3,16.7,16.7,unsheltered:3 | case:2 | biggest:2 | help:2 | work:2 | systems:2 | experience:2 | hmis:2 | planning:2 | resource:2 | exposure:2 | new:2 | appreciated:1 | learn:1 | documentation:1 | management:1 | home:1 | visits:1 | debrief:1 | health:1,planning resource:2 | appreciated learn:1 | learn documentation:1 | documentation case:1 | case management:1 | management home:1 | home visits:1 | visits debrief:1 | help work:1 | work health:1 | health fairs:1 | fairs care:1 | care navigation:1 | navigation connect:1 | connect class:1,practice:3 | limited:2 | direct:2 | found:2 | experience:2 | work:2 | skills:2 | micro:2 | frustration:1 | hard:1 | knowing:1 | meeting:1 | expectations:1 | went:1 | paperwork:1 | instead:1 | actual:1 | mostly:1 | shadowing:1 | inconsistent:1,frustration hard:1 | hard knowing:1 | knowing meeting:1 | meeting expectations:1 | went paperwork:1 | paperwork instead:1 | instead actual:1 | actual practice:1 | mostly shadowing:1 | shadowing limited:1 | limited direct:1 | direct practice:1 | practice inconsistent:1 | inconsistent supervision:1 | found teh:1,3.67,3.83,3.67,3.5,3.67,3.83,3.67,3.67,3.33,3.5,3.67,3.17,3.83,3.67,0.407,0.2506,0.5048,84.35,88.86,87.74,88.16,88.56,87.24,89.4,87.64,87.15
eating disorder center of montana,Eating Disorder Center Of Montana,13,sufficient,3.59,3.14,declining,28.8,0.62,0.3036,88.09,2,review recommended,no flag,0.5863,0.0388,53.8,23.1,15.4,30.8,23.1,46.2,15.4,7.7,69.2,23.1,30.8,7.7,learning:4 | planning:4 | work:4 | learn:4 | systems:4 | understand:4 | helped:3 | program:3 | practice:3 | support:3 | clinical:3 | therapeutic:3 | appreciated:2 | included:2 | policy:2 | instead:2 | observing:2 | resource:2 | referrals:2 | learned:2,resource referrals:2 | systems level:2 | level meetings:2 | meetings helped:2 | helped understand:2 | understand decisions:2 | decisions affect:2 | affect service:2 | service delivery:2 | appreciated included:1 | included legislative:1 | legislative tracking:1 | tracking policy:1 | policy research:1 | research instead:1,practice:5 | supervision:4 | work:3 | enough:3 | meetings:3 | shadowing:2 | admin:2 | hands:2 | went:2 | paperwork:2 | instead:2 | actual:2 | harder:2 | first:2 | weeks:2 | team:2 | feeling:2 | practicum:2 | student:2 | needed:1,admin work:2 | went paperwork:2 | paperwork instead:2 | instead actual:2 | actual practice:2 | shadowing needed:1 | frustration admin:1 | practice spent:1 | spent guessing:1 | guessing doing:1 | honestly went:1 | appreciated supervision:1 | supervision exposure:1 | exposure trauma:1 | trauma heavy:1,3.77,3.77,4.15,3.54,3.38,3.77,3.85,3.85,2.69,3.23,3.62,3.31,4.0,3.77,0.3264,0.3159,0.2504,87.79,88.42,84.4,87.46,85.94,86.95,93.3,88.29,90.3
one health,One Health,3,sufficient,3.6,,stable,37.7,0.67,0.2039,92.77,2,review recommended,no flag,0.7058,-0.4049,0.0,33.3,66.7,33.3,33.3,33.3,0.0,0.0,66.7,33.3,33.3,0.0,case:2 | management:2 | instead:2 | gave:2 | better:2 | sense:2 | work:2 | aps:2 | organization:2 | learning:2 | biggest:1 | help:1 | included:1 | outreach:1 | support:1 | groups:1 | observing:1 | community:1 | appreciated:1 | coordination:1,case management:2 | gave better:2 | better sense:2 | help included:1 | included outreach:1 | outreach support:1 | support groups:1 | groups case:1 | management instead:1 | observing gave:1 | sense community:1 | community work:1 | appreciated work:1 | work aps:1 | aps coordination:1,msw:3 | practice:2 | having:2 | supervisor:2 | agency:2 | outside:2 | admin:1 | work:1 | enough:1 | hands:1 | wanted:1 | little:1 | independent:1 | direct:1 | discussions:1 | conflicts:1 | challenges:1 | seek:1 | mentorship:1 | areas:1,msw supervisor:2 | admin work:1 | wanted little:1 | little independent:1 | independent practice:1 | having direct:1 | direct msw:1 | supervisor agency:1 | agency discussions:1 | discussions conflicts:1 | conflicts challenges:1 | challenges seek:1 | seek mentorship:1 | mentorship areas:1 | areas such:1,3.33,4.0,4.0,3.67,3.33,3.0,3.33,3.0,3.67,4.0,3.67,3.67,3.0,3.67,-0.0709,0.3674,0.4223,85.01,93.03,95.06,94.89,92.62,91.68,95.39,92.95,94.29
hamilton school district 3,Hamilton School District 3,5,sufficient,3.64,,stable,30.6,0.6,0.3103,89.42,2,review recommended,no flag,0.5109,0.0762,40.0,0.0,60.0,50.0,0.0,50.0,0.0,0.0,60.0,50.0,40.0,0.0,learning:3 | helped:2 | exposure:2 | agency:2 | experience:2 | practice:2 | given:2 | work:2 | community:2 | real:1 | crisis:1 | escalation:1 | safety:1 | planning:1 | gave:1 | useful:1 | policy:1 | navigation:1 | systems:1 | level:1,helped real:1 | real exposure:1 | exposure crisis:1 | crisis escalation:1 | escalation safety:1 | safety planning:1 | agency gave:1 | gave useful:1 | useful exposure:1 | exposure policy:1 | policy navigation:1 | navigation systems:1 | systems level:1 | level advocacy:1 | care coordination:1,hardest:2 | practicum:2 | educational:2 | problem:2 | solving:2 | needed:1 | client:1 | contact:1 | fewer:1 | office:1 | tasks:1 | having:1 | limited:1 | direct:1 | clinical:1 | exposure:1 | agency:1 | able:1 | issue:1 | interfered:1,problem solving:2 | hardest needed:1 | client contact:1 | contact fewer:1 | fewer office:1 | office tasks:1 | having limited:1 | limited direct:1 | direct clinical:1 | clinical exposure:1 | practicum agency:1 | agency able:1 | able educational:1 | educational issue:1 | issue interfered:1,3.4,3.8,4.0,3.8,3.6,3.2,4.0,4.2,3.6,3.6,4.0,3.6,3.6,3.4,-0.0255,0.567,0.423,90.91,87.63,88.16,88.13,90.34,90.83,90.55,89.02,89.16
youth crisis center inc,Youth Crisis Center Inc.,9,sufficient,3.66,4.0,improving,28.8,0.67,0.2878,89.13,2,review recommended,no flag,0.5777,-0.1134,33.3,0.0,33.3,14.3,0.0,42.9,0.0,0.0,66.7,14.3,11.1,0.0,helped:5 | practice:5 | real:4 | support:3 | coordination:3 | experience:3 | learning:3 | exposure:2 | planning:2 | connect:2 | appreciated:2 | work:2 | build:2 | confidence:2 | environment:2 | wanted:2 | learn:2 | aps:2 | documentation:2 | safety:1,real exposure:2 | helped build:2 | build confidence:2 | aps coordination:2 | coordination documentation:2 | helped real:1 | exposure safety:1 | safety planning:1 | planning crisis:1 | crisis support:1 | learned direct:1 | direct practice:1 | practice feedback:1 | feedback connect:1 | connect coursework:1,slow:2 | fewer:2 | tasks:2 | needed:2 | practice:2 | frustration:2 | weeks:1 | observational:1 | than:1 | active:1 | periods:1 | hardest:1 | client:1 | contact:1 | office:1 | pace:1 | personal:1 | adjustment:1 | times:1 | struggled:1,weeks observational:1 | observational than:1 | than active:1 | slow periods:1 | periods fewer:1 | fewer tasks:1 | hardest needed:1 | client contact:1 | contact fewer:1 | fewer office:1 | office tasks:1 | slow pace:1 | pace practice:1 | practice personal:1 | personal adjustment:1,3.56,3.78,3.22,3.33,3.44,3.56,3.78,3.67,3.44,3.5,3.78,3.0,4.33,3.67,0.2075,0.4384,0.3288,91.84,91.28,87.02,86.99,87.16,91.59,92.59,84.73,88.95
western montana's lgbtq+ community center,Western Montana's Lgbtq+ Community Center,3,sufficient,3.67,,stable,43.7,0.67,0.3948,92.44,2,review recommended,no flag,0.7694,-0.0499,33.3,33.3,100.0,33.3,0.0,33.3,0.0,0.0,66.7,0.0,33.3,0.0,community:3 | learned:2 | helped:2 | practice:2 | lgbtq:2 | brief:1 | intervention:1 | work:1 | social:1 | workers:1 | meaningful:1 | use:1 | short:1 | client:1 | contact:1 | apply:1 | strengths:1 | perspective:1 | appreciate:1 | having:1,lgbtq community:2 | learned brief:1 | brief intervention:1 | intervention work:1 | work social:1 | social workers:1 | workers meaningful:1 | meaningful use:1 | use short:1 | short client:1 | client contact:1 | contact helped:1 | helped apply:1 | apply strengths:1 | strengths perspective:1,tasks:2 | fast:1 | pace:1 | limited:1 | reflection:1 | depth:1 | teaching:1 | wish:1 | able:1 | spend:1 | working:1 | see:1 | different:1 | types:1 | executive:1 | director:1 | needed:1 | client:1 | contact:1 | fewer:1,fast pace:1 | pace limited:1 | limited reflection:1 | reflection depth:1 | depth teaching:1 | wish able:1 | able spend:1 | spend working:1 | working see:1 | see different:1 | different types:1 | types tasks:1 | tasks executive:1 | executive director:1 | client contact:1,3.67,4.0,3.67,3.33,3.67,3.0,4.0,3.33,2.67,3.33,3.67,3.67,4.0,3.67,0.597,0.21,0.4476,94.29,91.54,93.79,90.81,93.36,94.3,91.16,92.82,89.87
aspen adult services,Aspen Adult Services,6,sufficient,3.7,,stable,18.8,0.67,0.206,87.42,2,review recommended,no flag,0.4226,0.1013,16.7,33.3,0.0,33.3,16.7,0.0,16.7,0.0,66.7,16.7,16.7,0.0,learning:3 | weeks:2 | work:2 | helped:1 | included:1 | safety:1 | planning:1 | parent:1 | coaching:1 | instead:1 | observing:1 | gave:1 | better:1 | sense:1 | family:1 | support:1 | set:1 | boundaries:1 | learned:1 | quite:1,helped included:1 | included safety:1 | safety planning:1 | planning parent:1 | parent coaching:1 | coaching instead:1 | observing gave:1 | gave better:1 | better sense:1 | sense family:1 | family support:1 | learning set:1 | set boundaries:1 | learned quite:1 | quite bit:1,direct:2 | practice:2 | enough:2 | check:2 | ins:2 | wanted:1 | instead:1 | mostly:1 | observation:1 | meal:1 | prepping:1 | grocery:1 | shopping:1 | daily:1 | like:1 | nutritionist:1 | slow:1 | periods:1 | fewer:1 | tasks:1,direct practice:2 | enough check:2 | check ins:2 | wanted direct:1 | practice instead:1 | instead mostly:1 | mostly observation:1 | meal prepping:1 | prepping grocery:1 | grocery shopping:1 | shopping daily:1 | daily like:1 | like nutritionist:1 | slow periods:1 | periods fewer:1,4.0,3.33,3.5,3.0,3.17,4.0,3.83,4.0,3.67,3.67,3.67,3.67,4.17,3.33,-0.073,0.3824,0.1967,86.71,86.52,90.49,88.31,84.41,88.77,91.28,83.53,86.77
the village,The Village,3,sufficient,3.73,,stable,25.3,0.33,0.2775,91.17,2,review recommended,no flag,0.719,-0.2673,33.3,33.3,33.3,33.3,0.0,33.3,0.0,0.0,66.7,0.0,33.3,0.0,staff:2 | biggest:1 | help:1 | work:1 | cps:1 | coordination:1 | documentation:1 | helped:1 | build:1 | confidence:1 | appreciated:1 | real:1 | exposure:1 | health:1 | fairs:1 | community:1 | assessments:1 | learning:1 | agreement:1 | less:1,help work:1 | work cps:1 | cps coordination:1 | coordination documentation:1 | documentation helped:1 | helped build:1 | build confidence:1 | appreciated real:1 | real exposure:1 | exposure health:1 | health fairs:1 | fairs community:1 | community assessments:1 | assessments learning:1 | learning agreement:1,frustration:1 | check:1 | ins:1 | steady:1 | enough:1 | amount:1 | responsibility:1 | needed:1 | client:1 | contact:1 | fewer:1 | office:1 | tasks:1 | nothing:1 | report:1,frustration check:1 | check ins:1 | ins steady:1 | steady enough:1 | enough amount:1 | amount responsibility:1 | client contact:1 | contact fewer:1 | fewer office:1 | office tasks:1 | nothing report:1,4.0,4.0,4.33,4.0,4.33,3.67,4.0,4.0,3.33,3.67,4.0,4.0,3.67,3.33,0.1409,0.6828,0.112,89.55,90.54,93.15,91.75,90.23,91.01,91.86,91.22,91.22
dewitt rite care clinic,Dewitt Rite Care Clinic,4,sufficient,3.75,,stable,21.2,0.5,0.2679,88.52,2,review recommended,no flag,0.5031,-0.0185,25.0,66.7,25.0,0.0,0.0,0.0,0.0,33.3,25.0,0.0,25.0,0.0,tasks:2 | practice:2 | strong:2 | support:2 | clinic:2 | meetings:2 | interprofessional:2 | advocacy:1 | meaningful:1 | connected:1 | micro:1 | mezzo:1 | macro:1 | change:1 | new:1 | directions:1 | supervisor:1 | opportunity:1 | attend:1 | onboarding:1,strong support:2 | advocacy tasks:1 | tasks meaningful:1 | meaningful connected:1 | connected micro:1 | micro practice:1 | practice mezzo:1 | mezzo macro:1 | macro change:1 | support new:1 | new directions:1 | directions supervisor:1 | supervisor opportunity:1 | opportunity attend:1 | attend clinic:1,placement:1 | strong:1 | continuity:1 | harder:1 | academic:1 | calendar:1 | difficulty:1 | getting:1 | feedback:1 | needed:1 | inconsistent:1 | supervision:1,placement strong:1 | strong continuity:1 | continuity harder:1 | harder academic:1 | academic calendar:1 | difficulty getting:1 | getting feedback:1 | feedback needed:1 | inconsistent supervision:1,3.75,3.25,4.0,3.5,3.5,3.75,3.75,4.5,4.5,4.0,3.5,4.0,3.75,3.5,-0.0256,0.4755,0.4051,89.63,90.17,90.27,88.22,86.2,87.42,90.82,88.06,85.9
la family housing,La Family Housing,19,sufficient,3.75,3.76,stable,20.3,0.53,0.2286,88.93,2,review recommended,no flag,0.3974,-0.1568,21.1,25.0,10.5,12.5,15.8,18.8,31.6,25.0,57.9,12.5,15.8,6.2,learning:5 | structure:4 | uneven:4 | learned:4 | times:4 | work:4 | helped:3 | support:3 | than:3 | experience:3 | needed:3 | supervision:3 | documentation:3 | advocacy:3 | clients:2 | tasks:2 | crisis:2 | good:2 | opportunities:2 | role:2,crisis support:2 | good learning:2 | learning opportunities:2 | opportunities experience:2 | experience uneven:2 | role broader:2 | broader than:2 | than expected:2 | expected times:2 | times confusing:2 | confusing others:2 | learned supervision:2 | supervision actually:2 | actually happened:2 | happened schedule:2,difficult:5 | scheduling:3 | times:3 | enough:3 | guidance:2 | frustration:2 | practice:2 | needed:2 | tasks:2 | limited:2 | opportunities:2 | experience:2 | harder:2 | already:2 | work:2 | lack:1 | structure:1 | came:1 | fulfilling:1 | competencies:1,scheduling difficult:3 | difficult times:3 | lack structure:1 | structure guidance:1 | guidance came:1 | came fulfilling:1 | fulfilling competencies:1 | frustration went:1 | went paperwork:1 | paperwork instead:1 | instead actual:1 | actual practice:1 | client contact:1 | contact fewer:1 | fewer office:1,3.84,3.89,3.79,3.68,3.26,3.26,3.47,3.47,3.42,3.74,3.47,3.95,3.74,3.84,0.3105,0.2635,0.3284,89.77,88.19,88.1,88.01,87.16,89.87,92.9,87.24,89.15
montana judicial branch,Montana Judicial Branch,6,sufficient,3.77,4.2,improving,16.8,0.67,0.1899,89.81,2,review recommended,no flag,0.4237,-0.0961,66.7,33.3,33.3,0.0,0.0,16.7,16.7,33.3,0.0,16.7,16.7,0.0,planning:3 | appreciated:2 | coordination:2 | learn:2 | debrief:2 | clients:2 | seeing:1 | discharge:1 | balances:1 | client:1 | needs:1 | systems:1 | barriers:1 | team:1 | recovery:1 | motivational:1 | interviewing:1 | group:1 | facilitation:1 | ability:1,appreciated seeing:1 | seeing discharge:1 | discharge planning:1 | planning balances:1 | balances client:1 | client needs:1 | needs systems:1 | systems barriers:1 | barriers team:1 | team coordination:1 | learn recovery:1 | recovery planning:1 | planning motivational:1 | motivational interviewing:1 | interviewing group:1,setting:1 | moved:1 | quickly:1 | moments:1 | wanted:1 | structured:1 | debriefing:1 | times:1 | coverage:1 | gaps:1 | having:1 | depth:1 | meetings:1 | supervisor:1 | first:1 | weeks:1 | unstructured:1 | frustration:1 | shadowing:1 | needed:1,setting moved:1 | moved quickly:1 | quickly moments:1 | moments wanted:1 | wanted structured:1 | structured debriefing:1 | times coverage:1 | coverage gaps:1 | having depth:1 | depth meetings:1 | meetings supervisor:1 | first weeks:1 | weeks unstructured:1 | frustration shadowing:1 | shadowing needed:1,4.0,4.67,4.5,4.17,4.17,3.5,4.17,4.0,4.0,3.17,3.67,3.83,4.0,4.17,0.2348,0.3502,0.0367,86.15,91.54,90.49,91.32,89.16,90.34,91.25,88.82,89.25
keystone therapy and training services,Keystone Therapy And Training Services,4,sufficient,3.8,4.0,stable,22.8,0.5,0.2906,88.21,2,review recommended,no flag,0.4607,-0.0269,25.0,50.0,0.0,25.0,0.0,25.0,25.0,25.0,50.0,0.0,0.0,0.0,meetings:4 | learning:3 | support:2 | tasks:2 | flexibility:1 | micromanaged:1 | having:1 | regular:1 | engage:1 | schools:1 | third:1 | party:1 | honestly:1 | helped:1 | brought:1 | care:1 | coordination:1 | quality:1 | improvement:1 | instead:1,flexibility micromanaged:1 | micromanaged having:1 | having regular:1 | regular meetings:1 | meetings learning:1 | learning engage:1 | engage schools:1 | schools third:1 | third party:1 | honestly helped:1 | helped brought:1 | brought care:1 | care coordination:1 | coordination meetings:1 | meetings quality:1,enough:3 | different:3 | school:2 | answers:2 | wasn:1 | regular:1 | communication:1 | practices:1 | using:1 | simplepractice:1 | track:1 | someone:1 | down:1 | answer:1 | people:1 | give:1 | standard:1 | simple:1 | practice:1 | asked:1,different answers:2 | wasn enough:1 | enough regular:1 | regular communication:1 | communication school:1 | school practices:1 | practices using:1 | using simplepractice:1 | simplepractice track:1 | track someone:1 | someone down:1 | down answer:1 | answer different:1 | different people:1 | people give:1,4.25,3.75,4.0,3.75,3.5,4.25,3.75,3.25,3.75,3.5,4.5,4.0,3.75,3.25,0.3201,0.2544,0.4448,90.63,88.84,86.46,88.49,84.76,87.08,91.17,88.42,88.01
winds of change mental health center,Winds Of Change Mental Health Center,17,sufficient,3.8,4.0,stable,26.9,0.59,0.3243,88.26,2,review recommended,no flag,0.604,-0.0488,11.8,23.5,23.5,23.5,23.5,41.2,5.9,5.9,52.9,23.5,29.4,0.0,work:9 | coordination:6 | appreciated:6 | support:5 | clients:4 | referrals:4 | family:4 | included:4 | instead:4 | observing:4 | social:4 | opportunities:4 | experience:3 | honestly:3 | exposure:3 | documentation:3 | helped:3 | build:3 | confidence:3 | community:3,social work:4 | build confidence:3 | appreciated included:3 | real exposure:2 | cps coordination:2 | honestly appreciated:2 | resource referrals:2 | helped build:2 | family support:2 | care coordination:2 | included family:2 | coordination instead:2 | work opportunities:2 | macro level:2 | level social:2,work:6 | practice:5 | needed:4 | practicum:4 | hardest:3 | shadowing:3 | hours:3 | frustration:2 | admin:2 | enough:2 | hands:2 | honestly:2 | chances:2 | try:2 | skills:2 | paperwork:2 | week:2 | working:2 | wanted:2 | woc:2,admin work:2 | shadowing needed:2 | practicum students:2 | nothing learned:1 | learned new:1 | new everyday:1 | frustration admin:1 | honestly hardest:1 | hardest shadowing:1 | hardest times:1 | times intake:1 | intake paperwork:1 | experience depended:1 | depended week:1 | week available:1,4.0,4.12,4.35,3.94,3.94,3.88,4.12,3.65,3.29,3.94,4.0,3.65,3.88,3.53,0.3674,0.4287,0.2703,87.24,88.69,88.61,88.86,86.21,88.76,90.15,87.38,88.41
blaine county school district,Blaine County School District,8,sufficient,3.95,4.13,stable,27.5,0.62,0.3413,90.66,2,review recommended,no flag,0.2843,0.1231,25.0,0.0,12.5,0.0,0.0,50.0,0.0,0.0,87.5,37.5,25.0,0.0,learned:3 | helped:3 | practicum:3 | already:3 | working:2 | site:2 | assessment:2 | support:2 | advocacy:2 | doing:2 | able:2 | hours:2 | learning:2 | experience:2 | work:2 | knowledgeable:1 | having:1 | appreciated:1 | learn:1 | risk:1,hours already:2 | knowledgeable learned:1 | learned working:1 | working having:1 | having site:1 | appreciated learn:1 | learn risk:1 | risk assessment:1 | assessment hotline:1 | hotline support:1 | support crisis:1 | crisis escalation:1 | escalation debrief:1 | help brought:1 | brought community:1,hours:2 | needed:2 | counseling:2 | schedule:1 | set:1 | afternoon:1 | missed:1 | out:1 | meetings:1 | learning:1 | experiences:1 | morning:1 | again:1 | flexible:1 | needs:1 | week:1 | honestly:1 | hardest:1 | went:1 | paperwork:1,schedule set:1 | set hours:1 | hours afternoon:1 | afternoon missed:1 | missed out:1 | out meetings:1 | meetings learning:1 | learning experiences:1 | experiences morning:1 | morning again:1 | again hours:1 | hours flexible:1 | flexible needs:1 | needs week:1 | honestly hardest:1,4.25,3.88,4.0,3.75,4.0,3.62,3.88,4.12,3.88,3.88,4.0,3.88,4.12,3.88,0.3219,0.5116,0.4654,88.13,91.92,90.76,90.86,89.99,88.93,93.72,91.48,90.18
alluvion health,Alluvion Health,3,sufficient,4.2,3.9,declining,17.7,0.67,0.0576,88.41,2,review recommended,no flag,0.4008,-0.1898,0.0,33.3,66.7,0.0,0.0,0.0,0.0,33.3,0.0,0.0,33.3,33.3,work:2 | practice:2 | court:1 | accompaniment:1 | crisis:1 | support:1 | warm:1 | handoffs:1 | connect:1 | class:1 | content:1 | hands:1 | experience:1 | clients:1 | diagnosing:1 | found:1 | group:1 | combined:1 | direct:1 | planning:1,work court:1 | court accompaniment:1 | accompaniment crisis:1 | crisis support:1 | support warm:1 | warm handoffs:1 | handoffs connect:1 | connect class:1 | class content:1 | content practice:1 | hands experience:1 | experience clients:1 | clients diagnosing:1 | found group:1 | group work:1,honestly:1 | frustration:1 | check:1 | ins:1 | steady:1 | enough:1 | amount:1 | responsibility:1 | opportunity:1 | engage:1 | research:1 | policy:1 | support:1 | underserved:1 | communities:1 | alluvion:1 | fqhc:1 | times:1 | placement:1 | structure:1,honestly frustration:1 | frustration check:1 | check ins:1 | ins steady:1 | steady enough:1 | enough amount:1 | amount responsibility:1 | opportunity engage:1 | engage research:1 | research policy:1 | policy support:1 | support underserved:1 | underserved communities:1 | communities alluvion:1 | alluvion fqhc:1,4.0,3.67,4.33,3.67,3.33,4.33,4.33,2.33,4.0,4.0,4.0,4.0,4.67,4.33,-0.3722,,0.3914,90.76,92.34,85.39,88.1,85.38,87.37,91.11,85.59,89.67
blue mountain clinic family practice,Blue Mountain Clinic Family Practice,3,sufficient,4.33,4.7,improving,18.3,0.67,0.4353,91.0,2,review recommended,no flag,0.6481,0.0224,33.3,33.3,0.0,0.0,33.3,33.3,0.0,33.3,33.3,0.0,0.0,0.0,work:2 | biggest:1 | help:1 | included:1 | resource:1 | navigation:1 | court:1 | support:1 | instead:1 | observing:1 | space:1 | guidance:1 | create:1 | meaningful:1 | changes:1 | appreciated:1 | coalition:1 | legislative:1 | tracking:1 | connect:1,help included:1 | included resource:1 | resource navigation:1 | navigation court:1 | court support:1 | support instead:1 | space guidance:1 | guidance create:1 | create meaningful:1 | meaningful changes:1 | appreciated work:1 | work coalition:1 | coalition work:1 | work legislative:1 | legislative tracking:1,honestly:1 | went:1 | paperwork:1 | instead:1 | actual:1 | practice:1 | differences:1 | work:1 | styles:1 | supervisor:1 | hardest:1 | hard:1 | knowing:1 | meeting:1 | expectations:1,honestly went:1 | went paperwork:1 | paperwork instead:1 | instead actual:1 | actual practice:1 | differences work:1 | work styles:1 | styles supervisor:1 | hardest hard:1 | hard knowing:1 | knowing meeting:1 | meeting expectations:1,4.33,4.33,4.33,4.0,4.33,4.0,4.33,4.33,4.0,4.33,4.33,4.33,4.67,4.0,0.6209,0.6014,0.2836,85.83,92.71,91.14,93.49,88.92,89.74,94.0,92.43,90.73
